camid,Main,Cross,Direction,osmid
200,Government St. ,Belleville St.,North,26823672
498,Vernon Ave.,Cloverdale Ave.,North,25841055
499,Vernon Ave.,Cloverdale Ave.,South,25841055
507,Blanshard St.,Sannich Rd.,North,25841022
508,Blanshard St.,Sannich Rd.,South,25841022
509,Blanshard St.,Sannich Rd.,East,25841022
510,Blanshard St.,Sannich Rd.,West,25841022
511,Vernon Ave.,Sannich Rd.,North,25841021
512,Vernon Ave.,Sannich Rd.,South,25841021
513,Vernon Ave.,Sannich Rd.,East,25841021
514,Vernon Ave.,Sannich Rd.,West,25841021
855,Blanshard St.,Ravine Way,North,25841005
856,Blanshard St.,Ravine Way,West,25841005
857,Blanshard St.,Ravine Way,East,25841005
858,Blanshard St.,Ravine Way,South,25841005
